#^
# Automatically generated edge file
#
# image 0
#
# format :
# index    x1    y1    x2    y2 
#
 
   15   1.34554e-01  -1.29746e-01   1.79057e-03  -1.30096e-01
    3  -1.74819e-01  -1.11658e-01  -1.81581e-01   2.07580e-01
    2  -1.81962e-01  -8.63584e-02  -1.87469e-01   1.41067e-01
    6   1.37054e-01  -5.63589e-02   1.34143e-01   1.19026e-01
    4  -6.82284e-03   2.23823e-02  -9.55002e-03   1.78416e-01
    6   1.34131e-01   1.21622e-01   1.33379e-01   1.73413e-01
    9  -3.85950e-01  -2.33672e-01  -2.87620e-01  -1.77809e-01
   10  -3.83615e-01  -2.72450e-01  -2.81818e-01  -2.06515e-01
    1  -2.85916e-01   2.20360e-01  -2.35084e-01   1.97646e-01
    7  -2.75770e-01   2.65027e-01  -1.83968e-01   2.13460e-01
   11  -2.72630e-01  -1.96609e-01  -2.36077e-01  -1.72617e-01
    1  -2.24313e-01   1.92862e-01  -1.90921e-01   1.77994e-01
    8  -1.78772e-01   2.07824e-01   3.81682e-02   2.14973e-01
   12  -1.77209e-01  -1.13931e-01  -1.44339e-02  -1.14724e-01
   13  -1.71698e-01  -1.34895e-01  -1.32903e-02  -1.35525e-01
   19  -1.01683e-01  -2.09083e-01  -4.68116e-02  -2.08884e-01
   21  -6.28867e-02  -1.60725e-01  -1.56461e-02  -1.59985e-01
    5  -6.35598e-03   1.78817e-01   3.65254e-02   1.80859e-01
   23  -4.85314e-03  -1.51854e-01   5.58699e-02  -1.51496e-01
   14   8.52981e-03  -1.02081e-01   2.71478e-02  -1.02263e-01
   29   2.59342e-02  -1.95047e-01   1.39160e-01  -1.94878e-01
   31   3.15312e-02  -1.71324e-01   1.35000e-01  -1.70389e-01
   14   3.40888e-02  -1.02222e-01   5.56103e-02  -1.01807e-01
   14   6.21033e-02  -1.00896e-01   1.13104e-01  -1.00980e-01
    8   9.07003e-02   2.17608e-01   3.58433e-01   2.23925e-01
    5   9.34732e-02   1.82369e-01   1.29590e-01   1.83678e-01
   17   1.44204e-01  -1.34619e-01   3.44865e-01  -1.31600e-01
   23   1.45976e-01  -1.51038e-01   1.76645e-01  -1.50775e-01
   16   1.45747e-01  -1.13125e-01   3.58288e-01  -1.09404e-01
   25   1.86251e-01  -1.58877e-01   2.34489e-01  -1.58853e-01
   27   2.11639e-01  -2.08712e-01   2.66781e-01  -2.08377e-01
#! 
#^
# Automatically generated edge file
#
# image 3
#
#+        alpha 0.0 beta 40.0
#
# format :
# index    x1    y1    x2    y2 
#
 
   18  -1.46236e-02  -2.59465e-01  -3.62110e-02  -2.17213e-01
   28   2.66916e-01  -2.42307e-01   2.26553e-01  -2.15700e-01
   20  -1.01733e-01  -2.15820e-01  -1.13589e-01  -1.70177e-01
   30   1.16794e-02  -1.94963e-01  -2.23494e-03  -1.77111e-01
   32   1.25650e-01  -1.88780e-01   9.67883e-02  -1.67753e-01
    6   6.15100e-02  -1.16588e-01   6.12664e-02  -9.97442e-02
    4  -7.99669e-02  -9.73217e-02  -8.03907e-02  -7.83123e-03
    6   6.16391e-02  -9.62381e-02   5.91191e-02   1.78257e-01
    2  -2.61082e-01  -9.47348e-02  -2.65453e-01   1.48114e-01
    0  -3.00589e-01  -7.07074e-02  -3.02551e-01   4.26289e-03
    4  -8.14213e-02   6.83690e-02  -8.25286e-02   1.78416e-01
    1  -2.69890e-01   1.90568e-01  -3.01071e-01   2.33853e-01
    7  -2.61993e-01   2.22621e-01  -2.94919e-01   2.78487e-01
    8  -2.70147e-01   2.18071e-01  -3.59244e-02   2.14300e-01
   13  -2.57878e-01  -1.45774e-01  -8.58679e-02  -1.40176e-01
   12  -2.57987e-01  -1.23443e-01  -8.84000e-02  -1.19075e-01
   19  -1.00516e-01  -2.18125e-01  -3.84874e-02  -2.14878e-01
    5  -8.00422e-02   1.79625e-01  -3.61854e-02   1.80044e-01
   15  -7.49336e-02  -1.34457e-01   4.63470e-02  -1.29417e-01
   23  -6.41231e-02  -1.56469e-01   4.63120e-02  -1.51363e-01
   14  -5.60560e-02  -1.05597e-01   4.60968e-02  -1.02219e-01
   31   3.94020e-04  -1.73600e-01   9.45899e-02  -1.68754e-01
   29   1.39572e-02  -1.97349e-01   1.28177e-01  -1.91275e-01
    8   2.19598e-02   2.14518e-01   2.64372e-01   2.08242e-01
    5   2.45767e-02   1.79688e-01   5.66570e-02   1.79307e-01
   17   5.86590e-02  -1.34321e-01   2.53490e-01  -1.24635e-01
   16   7.03332e-02  -1.12842e-01   2.64037e-01  -1.03505e-01
   26   1.86156e-01  -1.56315e-01   2.55873e-01  -1.93989e-01
   27   2.05071e-01  -2.00521e-01   2.54732e-01  -1.97814e-01
   28   2.09083e-01  -2.04534e-01   2.23529e-01  -2.13410e-01
   28   2.68247e-01  -2.43917e-01   2.83076e-01  -2.53881e-01
#! 
#^
# Automatically generated edge file
#
# image 4
# 
#+        alpha 0.0  beta 20.0
#
# format :
# index    x1    y1    x2    y2 
#
 
   18  -7.98539e-02  -2.71518e-01  -2.44963e-02  -1.84439e-01
   28   2.74549e-01  -2.53484e-01   2.36080e-01  -1.85506e-01
   26   2.98197e-01  -1.80426e-01   2.62479e-01  -1.42432e-01
   20  -8.26496e-02  -1.79594e-01  -5.31620e-02  -1.49319e-01
   30   4.48482e-02  -1.68695e-01   5.27041e-02  -1.50762e-01
   32   1.65110e-01  -1.68887e-01   1.59053e-01  -1.51127e-01
   15   1.78926e-02  -1.17913e-01   1.53772e-01  -1.17769e-01
    4   1.47564e-02  -1.09410e-01   1.35994e-02   1.63498e-02
    3  -1.57645e-01  -9.73532e-02  -1.61054e-01   2.24436e-01
    6   1.59034e-01  -7.20244e-02   1.55948e-01   1.89251e-01
    2  -1.64508e-01  -7.06433e-02  -1.67472e-01   1.57955e-01
    4   1.29684e-02   3.69134e-02   1.22418e-02   1.95448e-01
    7  -1.99632e-01   2.57592e-01  -2.31774e-01   2.79497e-01
   10  -3.76522e-01  -2.37441e-01  -2.65617e-01  -1.78822e-01
    9  -3.76484e-01  -1.96166e-01  -2.69903e-01  -1.48817e-01
    1  -2.63126e-01   2.52009e-01  -2.13534e-01   2.22118e-01
   11  -2.55257e-01  -1.69837e-01  -1.65128e-01  -1.23452e-01
    1  -2.02874e-01   2.15758e-01  -1.72116e-01   1.97373e-01
    7  -1.98593e-01   2.55972e-01  -1.77389e-01   2.42229e-01
   12  -1.59753e-01  -9.98760e-02   5.70845e-03  -1.01179e-01
    8  -1.58125e-01   2.24618e-01   5.96264e-02   2.31670e-01
   13  -1.55646e-01  -1.21062e-01   5.61158e-03  -1.22250e-01
   19  -8.03961e-02  -1.82211e-01  -2.53171e-02  -1.82188e-01
   21  -5.24435e-02  -1.44498e-01   5.63176e-03  -1.42461e-01
    5   1.51829e-02   1.95683e-01   5.82486e-02   1.97482e-01
   14   2.86964e-02  -8.91957e-02   4.59945e-02  -8.93650e-02
   29   4.88562e-02  -1.71126e-01   1.66004e-01  -1.71313e-01
   14   5.41801e-02  -8.95125e-02   7.43171e-02  -8.92767e-02
    8   1.13507e-01   2.34223e-01   3.71747e-01   2.39986e-01
    5   1.14962e-01   1.99058e-01   1.52384e-01   2.00213e-01
   17   1.67492e-01  -1.21971e-01   3.71777e-01  -1.19868e-01
   16   1.67129e-01  -1.00284e-01   3.71534e-01  -9.74487e-02
   25   2.06045e-01  -1.42803e-01   2.60007e-01  -1.43019e-01
   27   2.38472e-01  -1.82881e-01   2.97571e-01  -1.82745e-01
#! 
#^
# Automatically generated edge file
#
# image 5
# 
#
# format :
# index    x1    y1    x2    y2 
#
 
   28   1.75227e-01  -2.62941e-01   1.94520e-01  -2.45188e-01
   26   2.76386e-01  -2.52225e-01   3.15369e-01  -1.96572e-01
    0  -3.02505e-01  -1.83164e-01  -3.03901e-01  -1.34852e-01
    6   2.36043e-01  -1.54261e-01   2.36123e-01  -1.18101e-01
    4   7.82174e-02  -1.42070e-01   8.05235e-02   2.11245e-01
    0  -3.02344e-01  -1.33617e-01  -3.04242e-01   3.69170e-02
    2  -1.09099e-01  -1.33761e-01  -1.07216e-01   2.03537e-01
    3  -9.44827e-02  -1.06961e-01  -9.13115e-02   2.34130e-01
    0  -3.03779e-01   6.59683e-02  -3.01246e-01   2.14709e-01
    6   2.40859e-01   7.19936e-02   2.41111e-01   1.39727e-01
    0  -3.00666e-01   2.38911e-01  -3.00202e-01   2.61860e-01
    7  -9.11487e-02   2.38792e-01  -1.24943e-01   2.51732e-01
   10  -3.85694e-01  -2.05088e-01  -3.11348e-01  -1.86545e-01
    9  -3.85761e-01  -1.69767e-01  -3.15751e-01  -1.55378e-01
   11  -2.97870e-01  -1.80324e-01  -1.11300e-01  -1.33825e-01
    1  -2.98271e-01   2.63998e-01  -1.96202e-01   2.31688e-01
   18  -2.35524e-01  -2.73016e-01  -9.68668e-02  -2.16667e-01
    7  -2.00832e-01   2.80051e-01  -1.30411e-01   2.53878e-01
    1  -1.81191e-01   2.26824e-01  -1.09647e-01   2.04332e-01
   20  -1.49979e-01  -2.06617e-01  -2.57328e-02  -1.63790e-01
   19  -1.46386e-01  -2.08952e-01  -9.52078e-02  -2.13958e-01
   12  -1.01922e-01  -1.08885e-01   6.76034e-02  -1.20792e-01
    8  -8.81753e-02   2.35593e-01   1.17601e-01   2.53710e-01
   13  -8.70277e-02  -1.32618e-01   6.88291e-02  -1.44613e-01
   21  -2.38196e-02  -1.65477e-01   2.84259e-02  -1.68341e-01
   29   5.80801e-03  -2.08287e-01   1.39979e-01  -2.21376e-01
   30   8.59304e-03  -2.05196e-01   5.76674e-02  -1.83136e-01
   31   5.96183e-02  -1.84272e-01   8.90939e-02  -1.87076e-01
    5   8.37996e-02   2.11966e-01   1.32225e-01   2.15813e-01
   31   9.16784e-02  -1.87289e-01   1.76345e-01  -1.94425e-01
   15   9.18103e-02  -1.40371e-01   2.33233e-01  -1.50340e-01
   23   1.00012e-01  -1.65167e-01   2.41269e-01  -1.75918e-01
   14   9.99541e-02  -1.09185e-01   2.34318e-01  -1.16729e-01
   32   1.41638e-01  -2.18952e-01   1.72345e-01  -1.98056e-01
    5   1.92792e-01   2.20297e-01   2.37237e-01   2.23480e-01
    8   1.93029e-01   2.61270e-01   3.71741e-01   2.75706e-01
   27   1.96822e-01  -2.46194e-01   2.74826e-01  -2.54076e-01
   17   2.38735e-01  -1.55960e-01   3.58328e-01  -1.63296e-01
   16   2.47968e-01  -1.31070e-01   3.71815e-01  -1.37521e-01
#! 
#^
# Automatically generated edge file
#
# image 6
#
#
# format :
# index    x1    y1    x2    y2 
#
 
   28   1.37968e-01  -2.55989e-01   1.56847e-01  -2.34304e-01
   28   1.58449e-01  -2.32270e-01   1.73958e-01  -2.14632e-01
   28   1.80509e-01  -2.07241e-01   2.01028e-01  -1.85369e-01
   26   2.81469e-01  -1.92803e-01   3.23612e-01  -1.24081e-01
   32   1.72783e-01  -1.34452e-01   1.80536e-01  -1.28281e-01
   24   2.63692e-01  -1.14002e-01   2.71433e-01  -1.03750e-01
    0  -2.84532e-01  -1.13033e-01  -2.86820e-01  -6.83236e-02
    6   2.45719e-01  -7.54519e-02   2.46389e-01  -3.57421e-02
    4   8.93898e-02  -6.10418e-02   9.34315e-02   2.78802e-01
    2  -9.54810e-02  -5.13628e-02  -9.84342e-02   2.78785e-01
    0  -2.87779e-01  -4.29078e-02  -2.93238e-01   1.02219e-01
    3  -8.13325e-02  -2.35863e-02  -8.17092e-02   1.19189e-01
    6   2.53685e-01   1.09408e-01   2.56551e-01   2.20871e-01
    3  -8.18680e-02   1.21613e-01  -8.26214e-02   2.78814e-01
    0  -2.94046e-01   1.31234e-01  -2.97461e-01   2.78795e-01
   10  -3.85773e-01  -1.47971e-01  -2.94161e-01  -1.17933e-01
    9  -3.85606e-01  -1.12281e-01  -2.96996e-01  -8.72267e-02
   11  -2.79087e-01  -1.10010e-01  -9.78893e-02  -5.16543e-02
   18  -2.55535e-01  -2.40160e-01  -8.21935e-02  -1.51219e-01
   20  -1.33951e-01  -1.39644e-01  -1.37262e-02  -8.73791e-02
   19  -1.31339e-01  -1.42611e-01  -8.18343e-02  -1.48689e-01
   12  -8.68232e-02  -2.58491e-02   7.96920e-02  -3.95783e-02
   13  -8.02440e-02  -4.85546e-02   8.11908e-02  -6.31969e-02
   21  -1.17175e-02  -8.87675e-02   3.66922e-02  -9.32291e-02
   30   2.06131e-02  -1.37236e-01   6.82855e-02  -1.10456e-01
   29   2.18818e-02  -1.41488e-01   1.48330e-01  -1.56535e-01
   23   6.36398e-02  -8.46023e-02   9.46975e-02  -8.64709e-02
   31   7.03682e-02  -1.11809e-01   1.84400e-01  -1.23701e-01
   15   1.05423e-01  -5.81730e-02   2.42428e-01  -6.98862e-02
   23   1.09587e-01  -8.80685e-02   2.52132e-01  -1.01141e-01
   14   1.12142e-01  -2.75301e-02   2.43827e-01  -3.69587e-02
   32   1.49830e-01  -1.54093e-01   1.71266e-01  -1.36380e-01
   27   2.03607e-01  -1.86393e-01   2.80197e-01  -1.95759e-01
   17   2.48224e-01  -7.66964e-02   3.36688e-01  -8.43544e-02
   16   2.58788e-01  -5.27113e-02   3.71735e-01  -6.02859e-02
   25   2.60033e-01  -1.15864e-01   3.20499e-01  -1.21119e-01
#! 
#^
# Automatically generated edge file
#
# image 7
#
# format :
# index    x1    y1    x2    y2 
#
 
   26   3.02889e-01  -2.71368e-01   3.28503e-01  -2.27337e-01
   32   1.72591e-01  -2.42624e-01   1.85214e-01  -2.30774e-01
    0  -2.87705e-01  -2.17028e-01  -2.89102e-01  -1.68715e-01
   24   2.66974e-01  -2.17187e-01   2.73689e-01  -2.09921e-01
    6   2.47841e-01  -1.79693e-01   2.47776e-01  -1.39738e-01
    4   9.01123e-02  -1.65048e-01   9.24049e-02   1.88075e-01
    2  -9.60716e-02  -1.53946e-01  -9.61967e-02   1.81915e-01
    0  -2.89433e-01  -1.44496e-01  -2.91273e-01   6.41910e-04
    3  -8.14805e-02  -1.26481e-01  -8.03624e-02   2.14938e-01
    6   2.52615e-01   6.66478e-03   2.53392e-01   1.17923e-01
    0  -2.91504e-01   2.84572e-02  -2.91452e-01   1.77214e-01
    6   2.53471e-01   1.46980e-01   2.52844e-01   1.87990e-01
    0  -2.90208e-01   2.02611e-01  -2.90208e-01   2.25590e-01
   10  -3.85831e-01  -2.49464e-01  -2.96533e-01  -2.20573e-01
    9  -3.85731e-01  -2.13446e-01  -3.00783e-01  -1.89929e-01
    1  -2.87459e-01   2.28015e-01  -1.86617e-01   2.03667e-01
   11  -2.83518e-01  -2.13552e-01  -9.78920e-02  -1.54578e-01
    7  -2.80679e-01   2.79372e-01  -1.21130e-01   2.30446e-01
    1  -1.70688e-01   1.99754e-01  -9.89078e-02   1.82591e-01
   19  -1.36767e-01  -2.47021e-01  -8.31945e-02  -2.53909e-01
   20  -1.33762e-01  -2.43559e-01  -1.38433e-02  -1.91248e-01
   18  -1.15804e-01  -2.72639e-01  -8.32201e-02  -2.56962e-01
    7  -1.15373e-01   2.29133e-01  -8.32174e-02   2.19009e-01
   12  -8.80892e-02  -1.28625e-01   7.98293e-02  -1.43024e-01
    8  -7.78021e-02   2.15389e-01   1.33777e-01   2.31635e-01
   13  -7.23666e-02  -1.52621e-01   8.06849e-02  -1.66804e-01
   21  -1.17094e-02  -1.92754e-01   3.66223e-02  -1.97421e-01
   29   1.63588e-02  -2.46275e-01   1.49820e-01  -2.62513e-01
   30   2.05646e-02  -2.42401e-01   6.93538e-02  -2.14977e-01
   22   3.74982e-02  -1.94839e-01   6.18046e-02  -1.86911e-01
   23   6.36451e-02  -1.88625e-01   9.61237e-02  -1.90748e-01
   31   7.17688e-02  -2.16611e-01   1.87185e-01  -2.28879e-01
    5   9.45993e-02   1.89325e-01   1.33473e-01   1.92310e-01
   15   1.10754e-01  -1.62272e-01   2.45099e-01  -1.73747e-01
   14   1.12058e-01  -1.30843e-01   2.45439e-01  -1.40361e-01
   23   1.13357e-01  -1.92596e-01   2.52021e-01  -2.05292e-01
   32   1.51145e-01  -2.60218e-01   1.71290e-01  -2.43384e-01
    8   2.03427e-01   2.37911e-01   3.71707e-01   2.49619e-01
    5   2.05026e-01   1.96544e-01   2.49327e-01   1.99256e-01
   17   2.50771e-01  -1.80647e-01   3.40715e-01  -1.88264e-01
   16   2.59847e-01  -1.56180e-01   3.71738e-01  -1.63487e-01
   25   2.69549e-01  -2.21125e-01   3.26148e-01  -2.26192e-01
#! 
#^
# Automatically generated edge file
#
# image 8
#
#+         alpha 0.0  beta 20.0
#
# format :
# index    x1    y1    x2    y2 
#
 
   24   3.04674e-01  -2.70166e-01   2.96401e-01  -2.56801e-01
   22   4.79575e-02  -2.63933e-01   5.63906e-02  -2.54127e-01
    2  -1.47086e-01  -2.26643e-01  -1.51701e-01   1.07146e-01
    3  -1.38228e-01  -1.95414e-01  -1.41668e-01   1.83250e-01
   14   1.41802e-01  -1.88097e-01   8.24784e-02  -1.87122e-01
    4   6.42129e-02  -1.86815e-01   6.09139e-02   1.49397e-01
    0  -2.96588e-01  -1.84396e-01  -2.98577e-01  -5.74159e-02
    6   2.39681e-01  -1.36077e-01   2.34546e-01   1.48123e-01
    0  -2.99626e-01   1.99901e-02  -2.99626e-01   8.77172e-02
    0  -2.99626e-01   9.13454e-02  -2.99626e-01   1.26418e-01
    7  -1.40783e-01   1.88686e-01  -2.10692e-01   2.28122e-01
    1  -2.96444e-01   2.13882e-01  -2.17604e-01   1.78197e-01
    7  -2.81143e-01   2.68685e-01  -2.13024e-01   2.29221e-01
   11  -2.19668e-01  -2.72321e-01  -1.50283e-01  -2.29507e-01
    1  -2.04273e-01   1.72098e-01  -1.55724e-01   1.50499e-01
   12  -1.40810e-01  -1.97384e-01   5.41989e-02  -2.02783e-01
    8  -1.39479e-01   1.84363e-01   1.17539e-01   1.95989e-01
   13  -1.36862e-01  -2.22750e-01   5.54905e-02  -2.28387e-01
   21  -6.32234e-03  -2.65258e-01   4.75512e-02  -2.66250e-01
   23   5.97192e-02  -2.53054e-01   1.45464e-01  -2.54587e-01
    5   6.35994e-02   1.52280e-01   1.17707e-01   1.54751e-01
   15   7.30564e-02  -2.21020e-01   1.37793e-01  -2.22248e-01
   15   1.40531e-01  -2.22590e-01   2.26412e-01  -2.23573e-01
   14   1.49861e-01  -1.86916e-01   2.09232e-01  -1.88040e-01
    8   1.80458e-01   1.99746e-01   3.71752e-01   2.06819e-01
    5   1.83384e-01   1.57446e-01   2.30456e-01   1.59197e-01
   23   2.02276e-01  -2.55846e-01   2.45485e-01  -2.56261e-01
   17   2.38584e-01  -2.30624e-01   3.71745e-01  -2.32732e-01
   23   2.49082e-01  -2.56558e-01   2.93709e-01  -2.57255e-01
   16   2.49206e-01  -2.04526e-01   3.71746e-01  -2.04759e-01
   25   3.05604e-01  -2.71213e-01   3.71680e-01  -2.71266e-01
#! 
#^
# Automatically generated edge file
#
# image 9
#
#+       alpha 0.0  beta 20.0
#
# format :
# index    x1    y1    x2    y2 
#
 
   18  -4.61604e-02  -2.71332e-01   6.83286e-04  -1.96737e-01
   28   3.57121e-01  -2.71426e-01   3.34728e-01  -2.08787e-01
   20  -7.38385e-02  -1.88935e-01  -9.05221e-03  -1.15903e-01
   32   2.44812e-01  -1.75961e-01   2.41135e-01  -1.40925e-01
   30   9.17457e-02  -1.71048e-01   1.06361e-01  -1.35399e-01
