#^
# Automatically generated edge file
#
#
# format :
# index    x1    y1    x2    y2 
#
 
    6  -1.52482e-01   1.62627e-01   2.43828e-01   1.58238e-01
    8  -1.33139e-01  -2.30243e-01   2.24776e-01  -2.35616e-01
    4  -1.00565e-01   2.34117e-01   1.99034e-01   2.30758e-01
   29   9.19490e-03   8.54806e-02   3.36094e-02   8.56867e-02
   21   9.15557e-03   1.90514e-01   1.18945e-01   1.89073e-01
   23   1.19897e-02   2.15739e-01   3.09204e-02   2.16215e-01
   35   5.26296e-02  -6.14066e-02   7.98132e-02  -6.11945e-02
   32   1.01362e-01   8.59073e-02   1.27035e-01   8.62828e-02
#! 
#^
# Automatically generated edge file
#
#+        alpha 0.0  beta -70.0
#
# format :
# index    x1    y1    x2    y2 
#
 
   10   7.03560e-02  -2.80274e-01   1.99224e-01  -1.63282e-01
    7   3.47079e-02  -2.22845e-01   4.35345e-02  -4.86028e-02
    3  -2.52147e-01  -1.69586e-01  -2.86978e-01   1.98795e-01
   10   2.01329e-01  -1.61562e-01   2.23072e-01  -1.39518e-01
    9   2.22025e-01  -1.37514e-01   2.37584e-01  -1.58137e-02
   34  -1.10377e-01  -6.43897e-02  -1.14466e-01   1.48043e-02
   27  -1.32783e-01  -5.95537e-02  -1.38516e-01   2.34767e-02
   37   1.17651e-01  -4.60903e-02   1.28836e-01   1.08790e-01
    7   4.14651e-02  -2.41399e-02   4.41596e-02   5.02229e-02
   47   1.73443e-01  -1.42423e-02   1.75786e-01   8.76748e-03
   45   1.35454e-01  -9.33438e-03   1.37944e-01   2.44020e-02
    9   2.38786e-01  -3.33415e-03   2.63718e-01   2.07383e-01
   33  -1.12232e-01   1.62318e-02  -8.17915e-02   7.68363e-02
   28  -1.41256e-01   2.46421e-02  -1.77455e-01   9.98583e-02
   30  -1.29631e-01   4.20259e-02  -1.55799e-01   9.86721e-02
   31  -1.26045e-01   4.20369e-02  -1.07219e-01   8.43932e-02
   43   1.75370e-01   4.49273e-02   1.78849e-01   7.09238e-02
   41   1.40252e-01   5.86771e-02   1.43383e-01   8.57769e-02
   39   1.85554e-01   1.04791e-01   1.88306e-01   1.30676e-01
    4   2.62111e-01   2.12223e-01  -2.86243e-02   2.58099e-01
    6  -2.79556e-01   2.02934e-01  -1.36494e-01   1.71653e-01
    2  -2.78510e-01   2.08506e-01  -3.02001e-02   2.57389e-01
    8  -2.48952e-01  -1.71119e-01  -4.19273e-02  -2.81519e-01
   29  -1.73924e-01   1.02295e-01  -1.59083e-01   9.85368e-02
    6  -1.35770e-01   1.70688e-01   2.46744e-02   1.35289e-01
   35  -1.30471e-01  -6.08983e-02  -1.12958e-01  -6.74459e-02
   32  -1.04663e-01   8.41958e-02  -8.44941e-02   7.92427e-02
   21  -8.70638e-02   2.05080e-01   7.44015e-03   1.87486e-01
   22  -8.66828e-02   2.07462e-01   7.48490e-03   2.28600e-01
   24  -4.93490e-02   2.08311e-01   1.59969e-02   2.23010e-01
   25  -4.50585e-02   2.05228e-01   1.71414e-02   1.93298e-01
    5   7.13270e-02   1.38637e-01   2.57986e-01   2.07688e-01
   36   1.21600e-01  -4.79275e-02   1.72118e-01  -1.54065e-02
   38   1.30994e-01   1.10286e-01   1.85442e-01   1.33562e-01
   46   1.37982e-01  -9.80859e-03   1.71922e-01   1.12019e-02
   44   1.40771e-01   2.64975e-02   1.73331e-01   4.47042e-02
   42   1.43305e-01   5.67534e-02   1.75921e-01   7.33485e-02
   40   1.46015e-01   8.67326e-02   1.84204e-01   1.04233e-01
#! 
#^
# Automatically generated edge file
#
#+         alpha 0.0  beta -100.0
#
# format :
# index    x1    y1    x2    y2 
#
 
    8  -1.04199e-01  -2.67320e-01  -2.47388e-01  -1.01911e-01
    7  -1.00485e-01  -2.65445e-01  -9.93416e-02  -2.35003e-01
    7  -1.01995e-01  -1.87483e-01  -1.05048e-01  -1.68194e-02
    9   1.96574e-01  -1.58385e-01   2.35716e-01   2.01254e-01
    3  -2.46523e-01  -9.97754e-02  -2.65622e-01   1.13576e-01
   37   1.04465e-02  -3.14604e-02   1.49744e-02   1.19725e-01
   34  -1.82377e-01  -1.68560e-02  -1.88097e-01   5.98230e-02
   27  -1.92757e-01  -1.44874e-02  -2.00043e-01   6.61317e-02
   47   1.00992e-01  -1.07241e-02   1.02242e-01   1.46007e-02
   45   3.67623e-02   2.74165e-03   3.79488e-02   3.42459e-02
    7  -1.08439e-01   6.33545e-03  -1.10438e-01   8.06849e-02
   43   9.92524e-02   5.02461e-02   1.01023e-01   7.44859e-02
   33  -1.86112e-01   6.11859e-02  -1.75544e-01   1.10735e-01
   28  -2.02181e-01   6.73227e-02  -2.22972e-01   1.35479e-01
   41   3.89835e-02   6.73203e-02   4.06840e-02   9.38081e-02
   30  -1.96986e-01   7.99193e-02  -2.11941e-01   1.33315e-01
   31  -1.94265e-01   7.94780e-02  -1.89476e-01   1.13684e-01
   39   1.09535e-01   1.07282e-01   1.10924e-01   1.35246e-01
    3  -2.66411e-01   1.18393e-01  -2.75216e-01   2.30538e-01
    4   2.33718e-01   2.04884e-01   1.78439e-02   2.63808e-01
    2  -2.73552e-01   2.35527e-01   1.58369e-02   2.62962e-01
    6  -2.68442e-01   2.30011e-01  -1.17160e-01   1.54395e-01
   29  -2.19917e-01   1.36908e-01  -2.14759e-01   1.34019e-01
   35  -1.90500e-01  -1.54845e-02  -1.85917e-01  -1.86163e-02
   32  -1.85960e-01   1.16639e-01  -1.77977e-01   1.12387e-01
   22  -1.19335e-01   2.23463e-01   3.52656e-03   2.36089e-01
   21  -1.16484e-01   2.21020e-01  -6.45844e-02   2.01606e-01
   10  -8.97597e-02  -2.68129e-01   1.93438e-01  -1.59116e-01
    5  -8.72401e-02   1.54898e-01   2.30088e-01   2.01100e-01
   25  -8.01479e-02   2.18786e-01  -4.79265e-02   2.07015e-01
   24  -7.89112e-02   2.22862e-01   9.31559e-03   2.31506e-01
   26  -6.26235e-02   2.03409e-01  -4.62776e-02   2.04251e-01
   36   1.31980e-02  -3.44337e-02   9.87249e-02  -1.22906e-02
   38   1.74492e-02   1.20684e-01   1.08171e-01   1.35667e-01
   46   4.02975e-02   6.60715e-04   1.00036e-01   1.53468e-02
   44   4.03626e-02   3.57514e-02   9.72400e-02   4.84065e-02
   42   4.06461e-02   6.52527e-02   9.85526e-02   7.66827e-02
   40   4.31141e-02   9.45590e-02   1.08497e-01   1.06283e-01
#! 
#^
# Automatically generated edge file
#
#+       alpha 0.0  beta -100.0
#
# format :
# index    x1    y1    x2    y2 
#
 
    8  -8.11446e-02  -2.52675e-01  -2.20549e-01  -8.09604e-02
    7  -7.96611e-02  -1.87521e-01  -8.43015e-02  -3.87406e-02
    9   1.95571e-01  -1.37583e-01   2.36899e-01   1.84182e-01
    3  -2.19817e-01  -7.90282e-02  -2.47430e-01   1.61039e-01
   37   2.23284e-02  -4.24234e-02   2.65742e-02   9.13760e-02
    7  -8.73961e-02  -3.75654e-02  -8.96824e-02   4.65901e-02
   34  -1.57887e-01  -2.42533e-02  -1.64536e-01   4.64743e-02
   27  -1.66784e-01  -2.21211e-02  -1.78057e-01   6.13213e-02
   47   1.06650e-01  -1.70108e-02   1.08129e-01   2.67461e-03
   45   4.66860e-02  -9.53674e-03   4.82576e-02   1.83969e-02
   43   1.05306e-01   3.55600e-02   1.06962e-01   5.94537e-02
   41   4.87960e-02   4.67023e-02   5.09887e-02   7.06593e-02
   33  -1.62361e-01   4.76714e-02  -1.52888e-01   8.65485e-02
    7  -9.32678e-02   4.77750e-02  -9.33939e-02   9.28791e-02
   28  -1.80709e-01   6.23904e-02  -2.00033e-01   1.22035e-01
   31  -1.70493e-01   6.36923e-02  -1.67076e-01   9.16613e-02
   30  -1.74131e-01   6.88148e-02  -1.89544e-01   1.17997e-01
   32  -1.54475e-01   8.83369e-02  -1.62789e-01   9.46090e-02
   39   1.15255e-01   8.78493e-02   1.17028e-01   1.12117e-01
    6  -1.05364e-01   1.18015e-01  -2.46898e-01   2.19914e-01
    3  -2.47814e-01   1.64575e-01  -2.53555e-01   2.21893e-01
